# id,name,type1,type2,hp,attack,defense,spAttack,spDefense,speed,evolutionLevel,evolutionTarget,baseExp,captureRate,category,description
persian,猫老大,NORMAL,,65,70,60,65,65,115,0,,154,90,暹罗猫宝可梦,姿态优雅 性情却很凶暴
vulpix,六尾,FIRE,,38,41,40,50,65,65,0,,60,190,狐狸宝可梦,六条尾巴会随着年龄增长
magikarp,鲤鱼王,WATER,,20,10,55,15,20,80,20,gyarados,40,255,鱼宝可梦,只会跳来跳去
gyarados,暴鲤龙,WATER,FLYING,95,125,79,60,100,81,0,,189,45,凶恶宝可梦,发怒时会破坏一切
psyduck,可达鸭,WATER,,50,52,48,65,50,55,33,golduck,64,190,鸭宝可梦,头痛时会发动不可思议的力量
golduck,哥达鸭,WATER,,80,82,78,95,80,85,0,,175,75,鸭宝可梦,在水中游动的速度极快
slowpoke,呆呆兽,WATER,PSYCHIC,90,65,65,40,40,15,30,slowbro,63,190,憨憨宝可梦,反应非常迟钝
slowbro,呆河马,WATER,PSYCHIC,95,75,110,100,80,30,0,,172,75,寄居蟹宝可梦,尾巴被大舌贝紧紧咬住
seel,小海狮,WATER,,65,45,55,45,70,45,34,dewgong,65,190,海狮宝可梦,喜欢冰冷的海水
dewgong,白海狮,WATER,ICE,90,70,80,70,95,70,0,,166,75,海狮宝可梦,全身覆盖着雪白的皮毛
koffing,瓦斯弹,POISON,,40,65,95,60,45,35,35,weezing,68,190,毒气宝可梦,体内充满毒气
weezing,双弹瓦斯,POISON,,65,90,120,85,70,60,0,,172,60,毒气宝可梦,两个身体由管道相连
cubone,卡拉卡拉,GROUND,,50,50,95,40,50,35,28,marowak,64,190,孤单宝可梦,戴着死去母亲的头骨
marowak,嘎啦嘎啦,GROUND,,60,80,110,50,80,45,0,,149,75,爱骨宝可梦,骨棒是它的武器
lapras,拉普拉斯,WATER,ICE,130,85,80,85,95,60,0,,187,45,乘载宝可梦,性情温和 喜欢载人渡海
snorlax,卡比兽,NORMAL,,160,110,65,65,110,30,0,,189,25,瞌睡宝可梦,一天要吃掉四百公斤食物
chansey,吉利蛋,NORMAL,,250,5,5,35,105,50,0,,395,30,蛋宝可梦,会把蛋分给受伤的人
aerodactyl,化石翼龙,ROCK,FLYING,80,105,65,60,75,130,0,,180,45,化石宝可梦,从琥珀化石中复活
